song_id,Song,Artist,Position,Last Week,Peak,Weeks on Chart,Week,Year,Decade,Month
1370,GROOVIN' (YOU' THE BEST THING/BIG BOSS GROOVE),THE STYLE COUNCIL,85,LW:RE,5,9,1984-07-29,1984,1980,7
1264,AUTOMATIC,THE POINTER SISTERS,86,LW:RE,2,17,1984-07-29,1984,1980,7
1521,WHOSE SIDE A YOU ON,MATT BIANCO,89,LW:RE,89,2,1984-07-29,1984,1980,7
1371,PEARL IN THE SHELL,HOWARD JONES,84,LW:RE,7,11,1984-08-05,1984,1980,8
270,BLUE MONDAY,NEW ORDER,93,LW:RE,9,62,1984-08-05,1984,1980,8
1238,AIN'T NOBODY,RUFUS AND CHAKA KHAN,100,LW:RE,8,16,1984-08-05,1984,1980,8
1415,ONLY WHEN YOU LEAVE,SPANDAU BALLET,74,LW:RE,3,10,1984-08-12,1984,1980,8
1577,TOUR DE FRANCE {1984},KRAFTWERK,76,LW:RE,22,9,1984-08-12,1984,1980,8
1416,ABSOLUTE,SCRITTI POLITTI,80,LW:RE,17,10,1984-08-12,1984,1980,8
1467,LIFE ON YOUR OWN,THE HUMAN LEAGUE,85,LW:RE,16,7,1984-08-12,1984,1980,8
1483,LAMENT,ULTRAVOX,73,LW:RE,22,7,1984-08-19,1984,1980,8
270,BLUE MONDAY,NEW ORDER,95,LW:RE,9,63,1984-08-26,1984,1980,8
1482,SISTER OF MERCY,THE THOMPSON TWINS,66,LW:RE,11,9,1984-09-02,1984,1980,9
1484,STATE OF SHOCK,JACKSONS WITH MICK JAGGER,76,LW:RE,14,9,1984-09-02,1984,1980,9
1503,GUARDIAN ANGEL,NINO DE ANGELO,90,LW:RE,57,8,1984-09-02,1984,1980,9
1371,PEARL IN THE SHELL,HOWARD JONES,95,LW:RE,7,12,1984-09-02,1984,1980,9
1372,DANCING IN THE DARK,BRUCE SPRINGSTEEN,96,LW:RE,28,10,1984-09-02,1984,1980,9
1452,LOVE SURCTION,ALISON MOYET,77,LW:RE,10,12,1984-09-09,1984,1980,9
1621,CEP,THE FALL,91,LW:RE,91,2,1984-09-09,1984,1980,9
1598,DEAD AND BURIED,ALIEN SEX FIEND,100,LW:RE,91,3,1984-09-09,1984,1980,9
1600,TINSELTOWN IN THE RAIN,BLUE NILE,91,LW:RE,87,4,1984-09-16,1984,1980,9
1679,GIMME ALL YOUR LOVIN' {1984},ZZ TOP,77,LW:RE,61,5,1984-09-23,1984,1980,9
1499,YOU THINK YOU' A MAN,DIVINE,80,LW:RE,16,11,1984-09-23,1984,1980,9
1398,SMALLTOWN BOY,BRONSKI BEAT,87,LW:RE,3,14,1984-09-23,1984,1980,9
1372,DANCING IN THE DARK,BRUCE SPRINGSTEEN,99,LW:RE,28,12,1984-09-23,1984,1980,9
1498,EVERYBODY'S LAUGHING,PHIL FEARON AND GALAXY,84,LW:RE,10,11,1984-09-30,1984,1980,9
1182,THE NEGADES OF FUNK,AFRIKA BAMBAATAA AND THE SOUL SONIC FORCE,94,LW:RE,30,5,1984-09-30,1984,1980,9
1560,GIRL YOU' SO TOGETHER,MICHAEL JACKSON,94,LW:RE,33,9,1984-10-07,1984,1980,10
1660,I WISH YOU WOULD,JOCELYN BROWN,78,LW:RE,51,4,1984-10-14,1984,1980,10
1601,WILLIAM IT WAS ALLY NOTHING,THE SMITHS,88,LW:RE,17,7,1984-10-14,1984,1980,10
1574,MOTHERS TALK,TEARS FOR FEARS,90,LW:RE,14,9,1984-10-14,1984,1980,10
1242,HEARTBEAT,THE PSYCHEDELIC FURS,100,LW:RE,62,2,1984-10-14,1984,1980,10
1589,I'LL FLY FOR YOU,SPANDAU BALLET,77,LW:RE,9,10,1984-10-28,1984,1980,10
1428,TWO TRIBES,FRANKIE GOES TO HOLLYWOOD,73,LW:RE,1,21,1984-11-04,1984,1980,11
1603,MADAM BUTTERFLY (UN BEL DI VEDMO),MALCOLM MCLAREN,80,LW:RE,13,10,1984-11-04,1984,1980,11
1637,HUMAN RACING,NIK KERSHAW,86,LW:RE,19,8,1984-11-04,1984,1980,11
917,WHITE LINES (DON'T DO IT),GRANDMASTER FLASH AND MELLE MEL,77,LW:RE,7,47,1984-11-11,1984,1980,11
1653,HAMMER TO FALL,QUEEN,86,LW:RE,13,8,1984-11-11,1984,1980,11
1652,BLUE JEAN,DAVID BOWIE,84,LW:RE,6,9,1984-11-18,1984,1980,11
1640,THE MEDICINE SONG,STEPHANIE MILLS,98,LW:RE,29,10,1984-11-18,1984,1980,11
1692,SKIN DEEP,THE STRANGLERS,91,LW:RE,15,8,1984-11-25,1984,1980,11
1713,THE SECOND TIME,KIM WILDE,99,LW:RE,29,7,1984-11-25,1984,1980,11
1635,PRIDE (IN THE NAME OF LOVE),U2,82,LW:RE,3,12,1984-12-02,1984,1980,12
72,MERRY XMAS EVERYBODY,SLADE,67,LW:RE,1,25,1984-12-09,1984,1980,12
1888,SHARP DSSED MAN {1984},ZZ TOP,74,LW:RE,53,5,1984-12-09,1984,1980,12
1694,MODERN GIRL,MEAT LOAF,82,LW:RE,17,10,1984-12-09,1984,1980,12
910,LAX,FRANKIE GOES TO HOLLYWOOD,93,LW:RE,1,51,1984-12-09,1984,1980,12
1731,HIGHLY STRUNG,SPANDAU BALLET,99,LW:RE,15,6,1984-12-09,1984,1980,12
1022,CHRISTMAS COUNTDOWN,FRANK KELLY,76,LW:RE,26,5,1984-12-16,1984,1980,12
1670,DRIVE,THE CARS,82,LW:RE,5,13,1984-12-16,1984,1980,12
1540,CALESS WHISPER,GEORGE MICHAEL,89,LW:RE,1,18,1984-12-16,1984,1980,12
